"id","entryNumber","companyId","date","description","reference","status","totalDebit","totalCredit","createdById","verifiedById","approvedById","rejectedById","rejectionReason","verifiedAt","approvedAt","createdAt","updatedAt","branchId","currencyId","exchangeRate"
"06d98084-ec9e-4571-8af4-8af5514fb6dc","JV-INV-235280c2-INV-2026-0006","235280c2-f037-4249-8696-bc38738a190e","2026-04-01 00:00:00","Auto-journal: Invoice INV-2026-0006","INV-2026-0006","APPROVED","11220","11220","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,"f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,,"2026-04-06 06:22:56.972","2026-04-06 06:22:56.973","2026-04-06 06:22:56.973",,,"1"
"1469d2a1-ab96-44b3-9099-fb9769c9d0fb","JE-2026-0002","235280c2-f037-4249-8696-bc38738a190e","2026-03-31 00:00:00","",,"APPROVED","50000","50000","f5792746-5425-4b3e-bcef-2df5ff24e4c7","f5792746-5425-4b3e-bcef-2df5ff24e4c7","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"2026-03-31 21:15:08.123","2026-03-31 21:15:09.773","2026-03-31 21:14:53.739","2026-03-31 21:15:09.774",,,"1"
"2984c9e1-d4e7-49b3-a25e-d505a841ad5f","JV-PMT-9c1f0874","235280c2-f037-4249-8696-bc38738a190e","2026-04-06 00:00:00","Payment Received - Ref: PAY-1775458466982","PAY-1775458466982","APPROVED","128.7","128.7","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,"f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,,"2026-04-06 06:54:26.999","2026-04-06 06:54:27","2026-04-06 06:54:27",,,"1"
"2c1e749d-1987-4ab4-a483-85bc41fd8731","JE-2026-0013","235280c2-f037-4249-8696-bc38738a190e","2026-04-01 00:00:00",,,"APPROVED","0","0","f5792746-5425-4b3e-bcef-2df5ff24e4c7","f5792746-5425-4b3e-bcef-2df5ff24e4c7","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"2026-04-01 22:45:09.119","2026-04-01 22:45:11.266","2026-04-01 22:44:55.976","2026-04-01 22:45:11.267",,,"1"
"3c9b3ffb-7317-4e62-939c-e48569d3cd99","JE-2026-0001","235280c2-f037-4249-8696-bc38738a190e","2026-03-31 00:00:00","",,"APPROVED","0","0","f5792746-5425-4b3e-bcef-2df5ff24e4c7","f5792746-5425-4b3e-bcef-2df5ff24e4c7","f5792746-5425-4b3e-bcef-2df5ff24e4c7","f5792746-5425-4b3e-bcef-2df5ff24e4c7","","2026-03-31 21:05:05.665","2026-03-31 21:05:07.524","2026-03-31 21:02:03.454","2026-03-31 21:05:07.525",,,"1"
"4016271a-3061-4874-b058-4aaff606108f","JE-2026-0008","235280c2-f037-4249-8696-bc38738a190e","2026-04-01 00:00:00",,,"REJECTED","0","0","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,"f5792746-5425-4b3e-bcef-2df5ff24e4c7","",,,"2026-04-01 20:07:10.021","2026-04-01 20:38:43.436",,,"1"
"49a91aed-9d7e-4379-a714-3792cbd0c769","JE-2026-0017","235280c2-f037-4249-8696-bc38738a190e","2026-04-02 00:00:00",,,"APPROVED","50000","50000","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,,,,,"2026-04-06 10:56:02.215","2026-04-06 10:56:02.215",,,"1"
"55985b28-9753-4b73-b96b-8f761888b878","JE-2026-0016","235280c2-f037-4249-8696-bc38738a190e","2026-04-03 00:00:00",,,"APPROVED","50000","50000","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,,,,,"2026-04-06 10:54:29.006","2026-04-06 10:54:29.006",,,"1"
"56aaf7cf-55c1-4c2a-9bbb-ad0388cdb66a","JE-2026-0007","4da93909-c2a6-43d8-9eed-8f9dffc01db2","2026-04-05 00:00:00",,,"APPROVED","500000","500000","3de00e61-540e-46b8-afac-9c389a516e8f","3de00e61-540e-46b8-afac-9c389a516e8f","3de00e61-540e-46b8-afac-9c389a516e8f",,,"2026-04-05 16:41:26.977","2026-04-05 16:41:47.563","2026-04-05 16:41:13.575","2026-04-05 16:41:47.564",,,"1"
"5ce76693-01d9-4753-a7bf-0b2e000c8c96","JV-INV-235280c2-INV-2026-0007","235280c2-f037-4249-8696-bc38738a190e","2026-04-02 00:00:00","Auto-journal: Invoice INV-2026-0007","INV-2026-0007","APPROVED","1211.55","1211.55","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,"f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,,"2026-04-06 06:22:41.775","2026-04-06 06:22:41.776","2026-04-06 06:22:41.776",,,"1"
"68c56705-54cb-40ed-8a21-4d624836a518","JE-2026-0003","235280c2-f037-4249-8696-bc38738a190e","2026-03-31 00:00:00","Advance for Ashraful Sulaiman - Adv Salary",,"APPROVED","10000","10000","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,,,,,"2026-03-31 21:15:52.39","2026-03-31 21:15:52.39",,,"1"
"74a4ed54-82f8-4267-909e-b0e231b17561","JV-PMT-530699e8","235280c2-f037-4249-8696-bc38738a190e","2026-04-02 00:00:00","Payment Made - Ref: PAY-1775119239971","PAY-1775119239971","APPROVED","100","100","e16db93a-9997-4fc7-8160-99235f20f991",,"e16db93a-9997-4fc7-8160-99235f20f991",,,,"2026-04-06 06:06:14.677","2026-04-06 06:06:14.682","2026-04-06 06:06:14.682",,,"1"
"7e302f54-40f7-4add-89aa-89a9881424c2","JV-INV-235280c2-INV-2026-0002","235280c2-f037-4249-8696-bc38738a190e","2026-04-01 00:00:00","Auto-journal: Invoice INV-2026-0002","INV-2026-0002","APPROVED","1122000","1122000","f5792746-5425-4b3e-bcef-2df5ff24e4c7",,"f5792746-5425-4b3e-bcef-2df5ff24e4c7",,,,"2026-04-06 06:53:53.038","2026-04-06 06:53:53.039","2026-04-06 06:53:53.039",,,"1"
