"id","journalEntryId","accountId","debit","credit","description","branchId","costCenterId","customerId","projectId","vendorId","creditBase","creditForeign","debitBase","debitForeign","exchangeRate","reconciled","reconciledAt"
"0c444c8e-12ce-4750-9753-e09104643ec0","cf2c2a03-c5be-4fee-9741-2d5e44b1490e","578df7c3-a997-46ab-85d4-06f612127116","128.7","0","Receivable - Inv INV-2026-0008",,,,,,"0","0","128.7","0","1","false",
"0f53f058-3cae-40d5-b469-055f302f5489","55985b28-9753-4b73-b96b-8f761888b878","b969a8d9-781b-4b59-b05d-c3a66bfcf7d3","50000","0",,,,,,,"0","0","50000","50000","1","false",
"106cc9a7-126a-4ae9-acec-51f53be15f9d","74a4ed54-82f8-4267-909e-b0e231b17561","a30ee653-3f3a-452a-b2d3-95ac044fbc38","100","0","AP Settlement - Payment Made - Ref: PAY-1775119239971",,,,,,"0","0","100","0","1","false",
"1f6359cf-50a2-42ad-b00a-442e75476802","cc1d2369-6c1c-4429-abb1-c5961e7498eb","a39cb24a-4afc-4c1b-a9a3-9e7fb6e1113d","100","0",,,,,,,"0","0","100","100","1","false",
"20a86f21-2e9b-4a08-9d71-7ef3045132c4","5ce76693-01d9-4753-a7bf-0b2e000c8c96","b969a8d9-781b-4b59-b05d-c3a66bfcf7d3","0","1211.55","Payable - Inv INV-2026-0007",,,,,,"1211.55","0","0","0","1","false",
"22af4a99-f2dc-4c0c-b498-477e49cdd08d","cf2c2a03-c5be-4fee-9741-2d5e44b1490e","fbcd42b5-4c15-48ae-821e-912c71ae094f","0","128.7","Revenue - Inv INV-2026-0008",,,,,,"128.7","0","0","0","1","false",
"2465d7ba-edd4-4f6f-9bd8-9d81e8868d39","4016271a-3061-4874-b058-4aaff606108f","5f6d23a1-414e-4852-844e-ee80854b405e","0","0",,,,,,,"0","0","0","0","1","false",
"254abfb3-eeec-4e33-adca-9bf18266d31b","e43514ba-a87f-4929-9b5c-2ef462eff006","2568ae69-03b0-4c95-9427-65c7cd3ca9c7","102","0","Receivable - Inv INV-2026-0001",,,,,,"0","0","102","0","1","false",
"2f0a73c7-c1be-4fdb-8bdd-a183d347cc40","68c56705-54cb-40ed-8a21-4d624836a518","5f6d23a1-414e-4852-844e-ee80854b405e","0","10000",,,,,,,"10000","10000","0","0","1","false",
"3d0c5f8a-3a9a-41af-82d3-53ed052337c8","fbb24225-b897-4eb4-b180-1b3198aceee6","5f6d23a1-414e-4852-844e-ee80854b405e","0","500",,,,,,,"500","500","0","0","1","false",
"496cac3b-4d01-45b5-a34a-567bb2d9f82c","68c56705-54cb-40ed-8a21-4d624836a518","a30ee653-3f3a-452a-b2d3-95ac044fbc38","10000","0",,,,,,,"0","0","10000","10000","1","false",
"4caa6c57-4df5-49ac-a08c-568efc771d21","ed55b84f-a1c6-426a-8b5f-6208dc967b46","ad52f823-b199-4732-aeea-d04eb98df029","0","0",,,,,,,"0","0","0","0","1","false",
"4f36844d-e4f4-4f68-9a07-828ec5f05601","5ce76693-01d9-4753-a7bf-0b2e000c8c96","d8d2459b-a66e-4ef5-841d-2b94509e5787","1211.55","0","Expense - Inv INV-2026-0007",,,,,,"0","0","1211.55","0","1","false",
"5009496e-9571-4ae9-aa57-81eed972ad31","98f98cca-e7bc-4278-b547-63e78db06a9d","5f6d23a1-414e-4852-844e-ee80854b405e","0","0",,,,,,,"0","0","0","0","1","false",
"55ed0f1f-a8ec-452d-a2a1-9d3b320bbe11","83fc2039-f3c6-4c40-ae7e-698dc7fd6189","836a2561-a65d-4892-8b1c-af715982512e","10000","0",,,,,,,"0","0","10000","10000","1","false",
"5dc0808d-7f91-4527-bd7d-c4365dfcd903","b9819d9f-5492-41b5-baaf-95ba4db9a8d8","5f6d23a1-414e-4852-844e-ee80854b405e","0","10000",,,,,,,"10000","10000","0","0","1","false",
"6114e205-a7f2-491b-af31-93a37f47aa83","55985b28-9753-4b73-b96b-8f761888b878","5f6d23a1-414e-4852-844e-ee80854b405e","0","50000",,,,,,,"50000","50000","0","0","1","false",
"62f11338-5097-46c0-8ffd-055bf08ac89e","ed55b84f-a1c6-426a-8b5f-6208dc967b46","5f6d23a1-414e-4852-844e-ee80854b405e","0","0",,,,,,,"0","0","0","0","1","false",
"66f6a3e3-d27d-4f8f-80d8-09d5c1458b9b","06d98084-ec9e-4571-8af4-8af5514fb6dc","d8d2459b-a66e-4ef5-841d-2b94509e5787","11220","0","Expense - Inv INV-2026-0006",,,,,,"0","0","11220","0","1","false",
"6a5acf9d-0bc8-4440-81e8-153f1ae7420d","98f98cca-e7bc-4278-b547-63e78db06a9d","a39cb24a-4afc-4c1b-a9a3-9e7fb6e1113d","0","0",,,,,,,"0","0","0","0","1","false",
"6d3384d5-60d9-42f9-a7c0-5edff38b2fbb","4016271a-3061-4874-b058-4aaff606108f","ce366600-8a10-4476-943c-b6fac7c0cf3b","0","0",,,,,,,"0","0","0","0","1","false",
"70310849-e7d6-4a19-96f1-2272b0a4ef2a","56aaf7cf-55c1-4c2a-9bbb-ad0388cdb66a","66b2b503-5972-4d04-9227-4860c8980317","0","500000",,,,,,,"500000","500000","0","0","1","false",
"7ee747e1-0461-4a3f-9b8c-7483bb1a7b2a","fe906f63-9257-4c99-ba55-ea216abae69c","836a2561-a65d-4892-8b1c-af715982512e","0","1211.55","Cash/Bank - Payment Made - Ref: PAY-1775458469559",,,,,,"1211.55","0","0","0","1","false",
"80ea581b-3167-4ee5-9257-63e0bcb221ff","fbb24225-b897-4eb4-b180-1b3198aceee6","a30ee653-3f3a-452a-b2d3-95ac044fbc38","500","0",,,,,,,"0","0","500","500","1","false",
"82996f23-1b9d-4404-ae4c-0c85957022ed","cc1d2369-6c1c-4429-abb1-c5961e7498eb","5f6d23a1-414e-4852-844e-ee80854b405e","0","100",,,,,,,"100","100","0","0","1","false",
"840682de-d56c-40f2-be21-61b5cb348af7","2c1e749d-1987-4ab4-a483-85bc41fd8731","ce366600-8a10-4476-943c-b6fac7c0cf3b","0","0",,,,,,,"0","0","0","0","1","false",
"89210440-9a34-4d31-818a-5dd24dc49428","9b0523b2-6591-41bf-b9ce-c284fb123a6e","578df7c3-a997-46ab-85d4-06f612127116","0","1122000","AR Settlement - Payment Received - Ref: PAY-1775458459372",,,,,,"1122000","0","0","0","1","false",
"8da36d10-14d5-4011-93b4-d143dfd4b24b","3c9b3ffb-7317-4e62-939c-e48569d3cd99","ce366600-8a10-4476-943c-b6fac7c0cf3b","0","100000","",,,,,,"100000","0","0","0","1","false",
"8e2ced9f-6819-46d9-b9e1-27ed1557c314","f303ae68-3c65-4651-b951-5d4f9d879327","ad52f823-b199-4732-aeea-d04eb98df029","0","0",,,,,,,"0","0","0","0","1","false",
"9340cdfc-6343-43f1-b00e-6e0241b3925e","fe906f63-9257-4c99-ba55-ea216abae69c","b969a8d9-781b-4b59-b05d-c3a66bfcf7d3","1211.55","0","AP Settlement - Payment Made - Ref: PAY-1775458469559",,,,,,"0","0","1211.55","0","1","false",
"97e06cd2-b1aa-4d00-93c6-49fd7b688d0c","a8da2707-a978-4175-b406-84b2c3ac7eb9","a39cb24a-4afc-4c1b-a9a3-9e7fb6e1113d","0","0",,,,,,,"0","0","0","0","1","false",
"9a279a77-4db4-48e4-aed4-b4ebaac6a687","9beda01f-1065-4795-90f1-26c85662474d","a10fe906-a4f9-4bb1-8020-58df42c7c50c","1000","0","Transfer In - TRF-1775463193005",,,,,,"0","0","1000","0","1","false",
"9a6fb352-5288-45e1-a0bb-701dc5b5cc97","2c1e749d-1987-4ab4-a483-85bc41fd8731","5f6d23a1-414e-4852-844e-ee80854b405e","0","0",,,,,,,"0","0","0","0","1","false",
"9c064640-a457-4c08-bf15-b02ce495d4db","9beda01f-1065-4795-90f1-26c85662474d","5f6d23a1-414e-4852-844e-ee80854b405e","0","1000","Transfer Out - TRF-1775463193005",,,,,,"1000","0","0","0","1","false",
"9fb8ca4e-8c93-43cb-ba90-612b1a608078","74a4ed54-82f8-4267-909e-b0e231b17561","a39cb24a-4afc-4c1b-a9a3-9e7fb6e1113d","0","100","Cash/Bank - Payment Made - Ref: PAY-1775119239971",,,,,,"100","0","0","0","1","false",
"a318d39f-5cba-4828-a324-74cc7f3ed50f","2984c9e1-d4e7-49b3-a25e-d505a841ad5f","836a2561-a65d-4892-8b1c-af715982512e","128.7","0","Cash/Bank - Payment Received - Ref: PAY-1775458466982",,,,,,"0","0","128.7","0","1","false",
"a5d9c5fb-ca72-484c-86eb-299115218600","b9819d9f-5492-41b5-baaf-95ba4db9a8d8","5f6d23a1-414e-4852-844e-ee80854b405e","10000","0",,,,,,,"0","0","10000","10000","1","false",
"a5eae1d6-92cc-44f0-a3f2-68b56ed13de2","49a91aed-9d7e-4379-a714-3792cbd0c769","5f6d23a1-414e-4852-844e-ee80854b405e","0","50000",,,,,,,"50000","50000","0","0","1","false",
"a7117de9-39df-43ed-b247-b66bf3855b68","a8da2707-a978-4175-b406-84b2c3ac7eb9","ad52f823-b199-4732-aeea-d04eb98df029","0","0",,,,,,,"0","0","0","0","1","false",
"ab8eb733-ef73-43ce-a339-dde46eb830e8","3c9b3ffb-7317-4e62-939c-e48569d3cd99","5f6d23a1-414e-4852-844e-ee80854b405e","100000","0","",,,,,,"0","0","100000","0","1","true","2026-04-06 05:53:20.781"
"b8256408-4eee-4624-867d-2b2ff5cd4424","83fc2039-f3c6-4c40-ae7e-698dc7fd6189","ce366600-8a10-4476-943c-b6fac7c0cf3b","0","10000",,,,,,,"10000","10000","0","0","1","false",
"b98f2d59-ca3d-4579-8c15-0463cbda6723","9b0523b2-6591-41bf-b9ce-c284fb123a6e","836a2561-a65d-4892-8b1c-af715982512e","1122000","0","Cash/Bank - Payment Received - Ref: PAY-1775458459372",,,,,,"0","0","1122000","0","1","false",
"c33b9c73-d0b3-42d7-b6e8-25cca322bbf4","2984c9e1-d4e7-49b3-a25e-d505a841ad5f","578df7c3-a997-46ab-85d4-06f612127116","0","128.7","AR Settlement - Payment Received - Ref: PAY-1775458466982",,,,,,"128.7","0","0","0","1","false",
"c54c80bc-b371-43f3-8990-b0587e93f604","fff74932-40cf-4e75-bcee-7ee6fe2f50da","578df7c3-a997-46ab-85d4-06f612127116","0","102","AR Settlement - Payment Received - Ref: PAY-1775458658222",,,,,,"102","0","0","0","1","false",
"c910ad38-c6b0-40c4-b16b-1bd3f6bfedcf","7e302f54-40f7-4add-89aa-89a9881424c2","fbcd42b5-4c15-48ae-821e-912c71ae094f","0","1122000","Revenue - Inv INV-2026-0002",,,,,,"1122000","0","0","0","1","false",
"cddbf615-e292-4f8a-94c3-293ef193120c","7e302f54-40f7-4add-89aa-89a9881424c2","2568ae69-03b0-4c95-9427-65c7cd3ca9c7","1122000","0","Receivable - Inv INV-2026-0002",,,,,,"0","0","1122000","0","1","false",
"cf6eaf28-9d50-43f7-9141-b3d71c33d039","e43514ba-a87f-4929-9b5c-2ef462eff006","fbcd42b5-4c15-48ae-821e-912c71ae094f","0","102","Revenue - Inv INV-2026-0001",,,,,,"102","0","0","0","1","false",
"d19b4934-60e7-4335-b0ea-f635151af233","fff74932-40cf-4e75-bcee-7ee6fe2f50da","ad52f823-b199-4732-aeea-d04eb98df029","102","0","Cash/Bank - Payment Received - Ref: PAY-1775458658222",,,,,,"0","0","102","0","1","false",
"da5a11cc-2aaf-45b8-8ae1-3bb916605909","1469d2a1-ab96-44b3-9099-fb9769c9d0fb","5f6d23a1-414e-4852-844e-ee80854b405e","50000","0",,,,,,,"0","0","50000","50000","1","false",
"dae55c27-9fa6-4d55-a464-40ae14505914","56aaf7cf-55c1-4c2a-9bbb-ad0388cdb66a","f7f0b2ae-56b4-46b3-b646-43e0b1f5a936","500000","0",,,,,,,"0","0","500000","500000","1","false",
"dc09b5c7-dc85-458f-ab8c-7e36f7f50159","1469d2a1-ab96-44b3-9099-fb9769c9d0fb","ce366600-8a10-4476-943c-b6fac7c0cf3b","0","50000",,,,,,,"50000","50000","0","0","1","false",
"e20b7c10-a511-43b9-9b1d-d6e777600326","49a91aed-9d7e-4379-a714-3792cbd0c769","168246a9-09b0-4125-9247-3654e436322e","50000","0",,,,,,,"0","0","50000","50000","1","false",
"e7c5fdac-9f7b-4ef4-aea1-963ac5340a9b","f303ae68-3c65-4651-b951-5d4f9d879327","a39cb24a-4afc-4c1b-a9a3-9e7fb6e1113d","0","0",,,,,,,"0","0","0","0","1","false",
"f9c2a784-aedf-4c01-8f2b-fa579904066f","06d98084-ec9e-4571-8af4-8af5514fb6dc","bec0fb88-f6d1-46f4-a8d0-d3a9fc9a4de0","0","11220","Payable - Inv INV-2026-0006",,,,,,"11220","0","0","0","1","false",
